Reihe,Jahr,Temperatur_Abweichung,Land_Abweichung,Ozean_Abweichung,Kohlenstoffemissionen
1,1880,-0.11,-0.48,-0.01,236
2,1881,-0.08,-0.4,0.01,243
3,1882,-0.1,-0.48,0,256
4,1883,-0.18,-0.66,-0.04,272
5,1884,-0.26,-0.69,-0.14,275
6,1885,-0.25,-0.56,-0.17,277
7,1886,-0.24,-0.51,-0.17,281
8,1887,-0.28,-0.47,-0.23,295
9,1888,-0.13,-0.41,-0.05,327
10,1889,-0.09,-0.31,-0.02,327
11,1890,-0.34,-0.51,-0.29,356
12,1891,-0.25,-0.52,-0.15,372
13,1892,-0.3,-0.49,-0.23,374
14,1893,-0.32,-0.54,-0.24,370
15,1894,-0.3,-0.38,-0.27,383
16,1895,-0.23,-0.39,-0.17,406
17,1896,-0.09,-0.33,0,419
18,1897,-0.09,-0.26,-0.03,440
19,1898,-0.26,-0.37,-0.22,465
20,1899,-0.15,-0.21,-0.13,507
21,1900,-0.07,-0.15,-0.05,534
22,1901,-0.15,-0.12,-0.16,552
23,1902,-0.25,-0.26,-0.24,566
24,1903,-0.37,-0.37,-0.37,617
25,1904,-0.45,-0.44,-0.46,624
26,1905,-0.27,-0.33,-0.25,663
27,1906,-0.21,-0.17,-0.22,707
28,1907,-0.38,-0.62,-0.29,784
29,1908,-0.43,-0.44,-0.43,750
30,1909,-0.44,-0.43,-0.45,785
31,1910,-0.4,-0.36,-0.42,819
32,1911,-0.44,-0.48,-0.43,836
33,1912,-0.34,-0.48,-0.28,879
34,1913,-0.32,-0.31,-0.32,943
35,1914,-0.14,-0.06,-0.17,850
36,1915,-0.09,-0.08,-0.1,838
37,1916,-0.32,-0.46,-0.26,901
38,1917,-0.4,-0.63,-0.29,955
39,1918,-0.3,-0.5,-0.21,936
40,1919,-0.25,-0.33,-0.21,806
41,1920,-0.23,-0.36,-0.18,932
42,1921,-0.16,-0.15,-0.17,803
43,1922,-0.25,-0.27,-0.24,845
44,1923,-0.25,-0.29,-0.24,970
45,1924,-0.24,-0.25,-0.24,963
46,1925,-0.18,-0.15,-0.19,975
47,1926,-0.07,-0.02,-0.1,983
48,1927,-0.17,-0.22,-0.16,1062
49,1928,-0.18,-0.15,-0.2,1065
50,1929,-0.33,-0.49,-0.27,1145
51,1930,-0.11,-0.13,-0.11,1053
52,1931,-0.06,-0.02,-0.08,940
53,1932,-0.13,-0.03,-0.17,847
54,1933,-0.26,-0.36,-0.22,893
55,1934,-0.11,-0.06,-0.13,973
56,1935,-0.16,-0.17,-0.15,1027
57,1936,-0.12,-0.12,-0.12,1130
58,1937,-0.01,-0.02,-0.01,1209
59,1938,-0.02,0.17,-0.1,1142
60,1939,0.01,0.1,-0.03,1192
61,1940,0.16,0.07,0.2,1299
62,1941,0.27,0.1,0.35,1334
63,1942,0.11,0.06,0.13,1342
64,1943,0.11,0.07,0.12,1391
65,1944,0.28,0.19,0.32,1383
66,1945,0.18,-0.07,0.3,1160
67,1946,-0.01,-0.01,-0.01,1238
68,1947,-0.04,0.04,-0.07,1392
69,1948,-0.05,0.05,-0.1,1469
70,1949,-0.07,-0.07,-0.08,1419
71,1950,-0.15,-0.32,-0.09,1630
72,1951,0,-0.06,0.02,1767
73,1952,0.05,-0.05,0.08,1795
